transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
845,27-10-2022,10:12:00,25,Male,0,Clothing,1,500.0,145.0,500.0
1150,22-08-2022,10:04:00,77,Female,0,Electronics,4,30.0,10.2,120.0
1845,24-05-2022,07:06:00,94,Male,0,Clothing,1,500.0,185.0,500.0
797,16-09-2022,06:38:00,116,Male,0,Clothing,3,25.0,10.75,75.0
921,28-09-2022,09:34:00,101,Male,0,Electronics,3,25.0,8.0,75.0
1797,16-04-2022,11:47:00,147,Male,40,Clothing,3,25.0,12.25,75.0
1921,08-02-2022,07:01:00,77,Male,51,Electronics,3,25.0,7.5,75.0
291,22-11-2022,08:29:00,15,Male,60,Clothing,2,300.0,126.0,600.0
907,02-09-2022,06:16:00,145,Female,45,Electronics,1,25.0,8.5,25.0
1291,04-04-2022,11:19:00,72,Male,60,Clothing,2,300.0,153.0,600.0
1907,17-11-2022,11:21:00,115,Female,45,Electronics,1,25.0,9.0,25.0
860,11-04-2022,08:58:00,85,Male,63,Clothing,4,50.0,16.0,200.0
1860,12-03-2022,11:21:00,57,Male,63,Clothing,4,50.0,18.0,200.0
184,13-02-2022,06:44:00,128,Male,31,Electronics,4,50.0,17.0,200.0
734,12-03-2022,08:54:00,77,Female,27,Clothing,1,30.0,15.6,30.0
1184,12-02-2022,08:28:00,23,Male,31,Electronics,4,50.0,27.5,200.0
1734,28-02-2022,08:58:00,72,Female,27,Clothing,1,30.0,14.4,30.0
225,05-03-2022,07:37:00,85,Female,57,Beauty,4,25.0,12.75,100.0
679,26-08-2022,08:59:00,64,Female,18,Beauty,0,,,
746,05-07-2022,11:33:00,42,Female,33,Clothing,0,,,
1225,02-02-2022,09:51:00,137,Female,57,Beauty,0,,,
1679,23-09-2022,08:08:00,71,Female,18,Beauty,3,30.0,15.3,90.0
1746,13-06-2022,07:59:00,88,Female,33,Clothing,3,30.0,10.8,90.0
3,14-06-2022,07:08:00,114,Male,50,Electronics,1,30.0,8.1,30.0
464,06-03-2022,11:13:00,24,Male,38,Electronics,2,300.0,75.0,600.0
484,13-03-2022,07:52:00,135,Female,19,Clothing,4,300.0,75.0,1200.0
591,21-03-2022,08:38:00,94,Male,53,Electronics,4,25.0,6.5,100.0
1003,26-01-2022,07:59:00,80,Male,50,Electronics,1,30.0,15.9,30.0
1464,13-11-2022,10:06:00,80,Male,38,Electronics,2,300.0,126.0,600.0
1484,23-11-2022,09:29:00,22,Female,19,Clothing,4,300.0,147.0,1200.0
1591,29-09-2022,11:00:00,62,Male,53,Electronics,4,25.0,7.0,100.0
21,11-07-2022,07:33:00,59,Female,50,Beauty,1,500.0,275.0,500.0
708,06-04-2022,08:38:00,62,Female,43,Beauty,3,300.0,87.0,900.0
713,16-04-2022,11:43:00,39,Male,34,Beauty,3,25.0,11.25,75.0
768,27-06-2022,06:50:00,58,Female,24,Beauty,3,25.0,10.5,75.0
1021,11-06-2022,10:19:00,44,Female,50,Beauty,1,500.0,155.0,500.0
1708,08-02-2022,07:47:00,41,Female,43,Beauty,3,300.0,162.0,900.0
1713,03-10-2022,10:10:00,90,Male,34,Beauty,3,25.0,10.75,75.0
1768,31-07-2022,09:52:00,85,Female,24,Beauty,3,25.0,8.75,75.0
499,03-04-2022,10:52:00,15,Male,46,Beauty,2,30.0,16.5,60.0
697,25-12-2022,07:52:00,152,Male,53,Clothing,1,500.0,200.0,500.0
831,30-11-2022,11:49:00,149,Male,27,Electronics,4,25.0,13.75,100.0
1499,23-09-2022,09:46:00,3,Male,46,Beauty,2,30.0,11.7,60.0
1697,18-12-2022,08:22:00,54,Male,53,Clothing,1,500.0,265.0,500.0
1831,26-03-2022,10:54:00,80,Male,27,Electronics,4,25.0,6.5,100.0
15,01-07-2022,11:50:00,75,Female,42,Electronics,4,500.0,210.0,2000.0
743,07-08-2022,07:54:00,55,Female,34,Beauty,4,500.0,260.0,2000.0
1015,09-03-2022,11:53:00,94,Female,42,Electronics,4,500.0,200.0,2000.0
1743,26-10-2022,09:37:00,47,Female,34,Beauty,4,500.0,250.0,2000.0
14,18-05-2022,07:11:00,8,Male,64,Clothing,4,30.0,13.2,120.0
103,12-11-2022,10:05:00,33,Female,59,Clothing,1,25.0,10.75,25.0
238,10-05-2022,11:52:00,20,Female,39,Beauty,1,500.0,150.0,500.0
986,01-08-2022,09:35:00,65,Female,49,Clothing,2,500.0,200.0,1000.0
1014,04-02-2022,10:26:00,147,Male,64,Clothing,4,30.0,11.4,120.0
1103,14-02-2022,07:11:00,61,Female,59,Clothing,1,25.0,6.75,25.0
1238,17-09-2022,07:38:00,129,Female,39,Beauty,1,500.0,165.0,500.0
1986,14-09-2022,08:28:00,29,Female,49,Clothing,2,500.0,145.0,1000.0
438,31-08-2022,10:15:00,88,Female,42,Clothing,1,30.0,15.9,30.0
1438,07-01-2022,10:00:00,72,Female,42,Clothing,1,30.0,13.8,30.0
475,12-08-2022,10:39:00,78,Male,26,Clothing,3,25.0,9.0,75.0
505,17-12-2022,07:25:00,86,Male,24,Beauty,1,50.0,19.5,50.0
1475,04-10-2022,07:03:00,132,Male,26,Clothing,3,25.0,10.75,75.0
1505,30-10-2022,08:00:00,98,Male,24,Beauty,1,50.0,14.5,50.0
344,17-07-2022,09:47:00,69,Female,42,Beauty,1,30.0,7.5,30.0
448,19-03-2022,09:36:00,86,Female,54,Beauty,2,30.0,16.2,60.0
742,19-03-2022,06:08:00,37,Female,38,Electronics,4,500.0,195.0,2000.0
1344,18-12-2022,06:12:00,144,Female,42,Beauty,1,30.0,11.1,30.0
1448,16-05-2022,06:28:00,51,Female,54,Beauty,2,30.0,9.3,60.0
1742,22-11-2022,08:25:00,18,Female,38,Electronics,4,500.0,220.0,2000.0
445,14-04-2022,10:48:00,132,Female,53,Electronics,1,300.0,138.0,300.0
787,10-06-2022,10:42:00,25,Male,41,Electronics,1,25.0,13.75,25.0
1445,19-04-2022,06:16:00,31,Female,53,Electronics,1,300.0,129.0,300.0
1787,30-05-2022,07:42:00,104,Male,41,Electronics,1,25.0,10.0,25.0
49,17-09-2022,10:33:00,37,Female,54,Electronics,2,500.0,255.0,1000.0
420,02-01-2022,10:53:00,28,Female,22,Clothing,4,500.0,200.0,2000.0
519,08-04-2022,10:17:00,52,Female,36,Electronics,4,30.0,16.5,120.0
1049,16-05-2022,06:36:00,143,Female,54,Electronics,2,500.0,125.0,1000.0
1420,15-04-2022,07:01:00,138,Female,22,Clothing,4,500.0,205.0,2000.0
1519,08-01-2022,07:35:00,139,Female,36,Electronics,4,30.0,9.3,120.0
64,15-11-2022,06:34:00,7,Male,49,Clothing,4,25.0,8.5,100.0
592,26-12-2022,09:15:00,77,Female,46,Beauty,4,500.0,275.0,2000.0
912,31-10-2022,06:18:00,122,Male,51,Beauty,3,50.0,20.5,150.0
1064,14-04-2022,10:38:00,49,Male,49,Clothing,4,25.0,13.75,100.0
1592,16-03-2022,09:08:00,81,Female,46,Beauty,4,500.0,155.0,2000.0
1912,27-05-2022,07:40:00,146,Male,51,Beauty,3,50.0,22.0,150.0
134,25-08-2022,09:03:00,132,Male,49,Electronics,1,50.0,16.0,50.0
1134,05-08-2022,09:04:00,106,Male,49,Electronics,1,50.0,24.0,50.0
288,02-05-2022,09:59:00,27,Male,28,Clothing,4,30.0,12.0,120.0
323,21-01-2022,08:22:00,97,Female,29,Beauty,3,300.0,150.0,900.0
618,13-10-2022,10:22:00,5,Female,27,Beauty,1,50.0,26.0,50.0
720,08-04-2022,08:50:00,116,Female,56,Beauty,3,500.0,235.0,1500.0
1288,05-04-2022,11:56:00,26,Male,28,Clothing,4,30.0,9.0,120.0
1323,15-08-2022,10:49:00,136,Female,29,Beauty,3,300.0,114.0,900.0
1618,15-09-2022,06:27:00,118,Female,27,Beauty,1,50.0,13.5,50.0
1720,10-10-2022,08:51:00,28,Female,56,Beauty,3,500.0,190.0,1500.0
415,05-01-2022,09:59:00,85,Male,53,Clothing,2,30.0,8.1,60.0
736,18-12-2022,08:30:00,97,Male,29,Clothing,4,25.0,9.75,100.0
929,11-03-2022,10:18:00,40,Female,23,Beauty,3,25.0,10.5,75.0
1415,06-03-2022,07:11:00,146,Male,53,Clothing,2,30.0,15.3,60.0
1736,28-08-2022,08:57:00,87,Male,29,Clothing,4,25.0,10.25,100.0
1929,15-09-2022,06:50:00,62,Female,23,Beauty,3,25.0,12.75,75.0
264,26-12-2022,11:03:00,111,Male,47,Clothing,3,300.0,150.0,900.0
913,12-10-2022,10:52:00,78,Male,29,Electronics,3,30.0,16.5,90.0
940,05-01-2022,08:11:00,46,Female,20,Electronics,1,30.0,9.6,30.0
1264,27-05-2022,09:23:00,82,Male,47,Clothing,3,300.0,123.0,900.0
1913,23-06-2022,07:10:00,101,Male,29,Electronics,3,30.0,14.1,90.0
1940,15-06-2022,09:47:00,56,Female,20,Electronics,1,30.0,11.1,30.0
101,08-01-2022,08:46:00,24,Male,32,Clothing,2,300.0,135.0,600.0
1101,17-05-2022,07:47:00,15,Male,32,Clothing,2,300.0,132.0,600.0
189,02-01-2022,09:44:00,143,Male,63,Beauty,1,50.0,14.5,50.0
317,04-05-2022,07:54:00,117,Male,22,Electronics,3,30.0,12.0,90.0
322,19-10-2022,06:11:00,13,Male,51,Electronics,1,500.0,125.0,500.0
329,27-10-2022,07:42:00,52,Female,46,Electronics,4,25.0,8.0,100.0
1189,07-12-2022,06:08:00,104,Male,63,Beauty,1,50.0,20.5,50.0
1317,25-08-2022,08:02:00,144,Male,22,Electronics,3,30.0,12.0,90.0
1322,14-11-2022,09:56:00,10,Male,51,Electronics,1,500.0,250.0,500.0
1329,27-01-2022,10:39:00,119,Female,46,Electronics,4,25.0,9.25,100.0
235,10-03-2022,10:13:00,132,Female,23,Electronics,2,500.0,275.0,1000.0
300,08-01-2022,09:41:00,138,Female,19,Electronics,4,50.0,26.5,200.0
964,26-08-2022,08:18:00,15,Male,24,Clothing,3,300.0,156.0,900.0
1235,04-04-2022,06:44:00,87,Female,23,Electronics,2,500.0,220.0,1000.0
1300,08-08-2022,08:57:00,7,Female,19,Electronics,4,50.0,24.0,200.0
1964,02-08-2022,08:27:00,115,Male,24,Clothing,3,300.0,111.0,900.0
269,19-09-2022,11:31:00,87,Male,25,Clothing,4,500.0,250.0,2000.0
320,20-04-2022,08:35:00,57,Female,28,Electronics,4,300.0,159.0,1200.0
673,04-07-2022,10:14:00,18,Female,43,Clothing,3,500.0,270.0,1500.0
1269,01-01-2022,08:09:00,71,Male,25,Clothing,4,500.0,145.0,2000.0
1320,02-11-2022,11:55:00,102,Female,28,Electronics,4,300.0,84.0,1200.0
1673,14-06-2022,07:36:00,42,Female,43,Clothing,3,500.0,185.0,1500.0
142,08-04-2022,10:05:00,61,Male,35,Electronics,4,300.0,138.0,1200.0
223,15-01-2022,11:18:00,61,Female,64,Clothing,1,25.0,12.0,25.0
666,03-03-2022,10:59:00,49,Male,51,Electronics,3,50.0,16.0,150.0
1142,09-11-2022,09:49:00,2,Male,35,Electronics,4,300.0,114.0,1200.0
1223,20-02-2022,07:40:00,106,Female,64,Clothing,1,25.0,9.75,25.0
1666,08-12-2022,10:10:00,125,Male,51,Electronics,3,50.0,21.0,150.0
107,06-10-2022,09:18:00,75,Female,21,Clothing,4,300.0,78.0,1200.0
933,19-09-2022,07:53:00,81,Male,22,Beauty,1,30.0,12.9,30.0
1107,31-12-2022,11:14:00,62,Female,21,Clothing,4,300.0,102.0,1200.0
1933,12-01-2022,11:04:00,121,Male,22,Beauty,1,30.0,14.4,30.0
237,11-04-2022,08:54:00,105,Female,50,Beauty,2,500.0,165.0,1000.0
335,02-02-2022,09:23:00,2,Female,47,Beauty,4,30.0,10.8,120.0
1237,23-02-2022,09:20:00,48,Female,50,Beauty,2,500.0,215.0,1000.0
1335,27-05-2022,08:45:00,117,Female,47,Beauty,4,30.0,8.7,120.0
63,03-02-2022,11:49:00,127,Male,57,Electronics,2,25.0,6.25,50.0
195,14-08-2022,11:51:00,10,Male,52,Clothing,1,30.0,9.3,30.0
333,06-10-2022,08:15:00,21,Female,54,Electronics,4,300.0,99.0,1200.0
379,01-06-2022,07:28:00,76,Female,47,Clothing,1,25.0,8.5,25.0
490,27-01-2022,06:07:00,43,Male,34,Clothing,3,50.0,18.5,150.0
530,01-05-2022,07:52:00,8,Female,18,Electronics,4,30.0,9.0,120.0
740,01-12-2022,06:58:00,33,Female,25,Beauty,4,50.0,13.0,200.0
793,27-05-2022,10:53:00,1,Male,54,Beauty,1,30.0,14.7,30.0
1063,04-08-2022,10:26:00,56,Male,57,Electronics,2,25.0,11.0,50.0
1195,21-09-2022,07:07:00,55,Male,52,Clothing,1,30.0,12.0,30.0
1333,01-11-2022,11:38:00,151,Female,54,Electronics,4,300.0,165.0,1200.0
1379,02-01-2022,06:23:00,69,Female,47,Clothing,1,25.0,7.25,25.0
1490,26-10-2022,07:15:00,155,Male,34,Clothing,3,50.0,17.0,150.0
1530,10-12-2022,08:17:00,93,Female,18,Electronics,4,30.0,12.3,120.0
1740,16-07-2022,06:01:00,66,Female,25,Beauty,4,50.0,27.0,200.0
1793,11-12-2022,06:05:00,88,Male,54,Beauty,1,30.0,10.8,30.0
85,03-09-2022,08:05:00,68,Male,31,Clothing,3,50.0,19.0,150.0
232,12-08-2022,07:14:00,150,Female,43,Beauty,1,25.0,12.75,25.0
240,05-11-2022,11:49:00,95,Female,23,Beauty,1,300.0,123.0,300.0
993,07-09-2022,09:21:00,134,Female,48,Electronics,3,50.0,17.0,150.0
1085,12-08-2022,09:29:00,76,Male,31,Clothing,3,50.0,17.0,150.0
1232,23-05-2022,08:05:00,146,Female,43,Beauty,1,25.0,6.25,25.0
1240,07-08-2022,07:42:00,144,Female,23,Beauty,1,300.0,90.0,300.0
1993,29-12-2022,11:53:00,123,Female,48,Electronics,3,50.0,26.5,150.0
366,29-10-2022,09:32:00,116,Male,57,Clothing,2,50.0,17.5,100.0
372,19-06-2022,11:45:00,27,Female,24,Beauty,3,500.0,140.0,1500.0
596,12-02-2022,08:44:00,87,Female,64,Electronics,1,300.0,93.0,300.0
936,05-01-2022,10:51:00,143,Male,57,Beauty,4,50.0,19.5,200.0
1366,01-01-2022,11:34:00,25,Male,57,Clothing,2,50.0,23.5,100.0
1372,18-03-2022,10:53:00,60,Female,24,Beauty,3,500.0,145.0,1500.0
1596,28-03-2022,06:22:00,7,Female,64,Electronics,1,300.0,141.0,300.0
1936,19-06-2022,11:32:00,60,Male,57,Beauty,4,50.0,12.5,200.0
284,12-11-2022,09:17:00,129,Male,43,Clothing,4,50.0,20.5,200.0
434,26-10-2022,06:09:00,50,Female,43,Electronics,2,25.0,8.25,50.0
775,06-05-2022,11:07:00,98,Female,46,Electronics,4,25.0,9.5,100.0
977,26-07-2022,08:35:00,46,Female,35,Electronics,3,25.0,13.75,75.0
1284,16-12-2022,11:43:00,145,Male,43,Clothing,4,50.0,18.0,200.0
1434,04-02-2022,10:02:00,147,Female,43,Electronics,2,25.0,7.0,50.0
1775,18-12-2022,08:04:00,78,Female,46,Electronics,4,25.0,13.75,100.0
1977,05-08-2022,10:46:00,63,Female,35,Electronics,3,25.0,12.0,75.0
649,21-06-2022,08:17:00,44,Female,58,Clothing,2,300.0,135.0,600.0
1649,21-10-2022,07:44:00,72,Female,58,Clothing,2,300.0,75.0,600.0
54,20-10-2022,10:17:00,142,Female,38,Electronics,3,500.0,200.0,1500.0
68,15-12-2022,09:06:00,146,Male,25,Electronics,1,300.0,84.0,300.0
192,08-11-2022,08:05:00,134,Male,62,Beauty,2,50.0,13.0,100.0
1054,10-01-2022,09:24:00,49,Female,38,Electronics,3,500.0,140.0,1500.0
1068,14-09-2022,10:11:00,136,Male,25,Electronics,1,300.0,111.0,300.0
1192,29-03-2022,08:41:00,37,Male,62,Beauty,2,50.0,20.5,100.0
331,16-08-2022,08:33:00,28,Male,28,Electronics,3,30.0,10.2,90.0
346,05-09-2022,06:54:00,38,Male,59,Clothing,2,500.0,215.0,1000.0
657,29-01-2022,08:53:00,46,Male,40,Clothing,1,25.0,8.0,25.0
732,13-10-2022,08:45:00,136,Male,61,Electronics,2,500.0,250.0,1000.0
972,16-08-2022,11:42:00,139,Male,49,Beauty,4,25.0,6.75,100.0
1331,15-05-2022,09:29:00,36,Male,28,Electronics,3,30.0,13.8,90.0
1346,10-04-2022,10:01:00,112,Male,59,Clothing,2,500.0,130.0,1000.0
1657,09-08-2022,10:05:00,61,Male,40,Clothing,1,25.0,8.0,25.0
1732,25-02-2022,07:05:00,55,Male,61,Electronics,2,500.0,215.0,1000.0
1972,21-12-2022,06:39:00,5,Male,49,Beauty,4,25.0,9.25,100.0
714,29-10-2022,08:50:00,20,Female,18,Clothing,1,500.0,190.0,500.0
1714,23-11-2022,06:07:00,111,Female,18,Clothing,1,500.0,245.0,500.0
193,27-03-2022,10:40:00,55,Male,35,Beauty,3,500.0,180.0,1500.0
577,21-04-2022,11:55:00,45,Male,21,Beauty,4,500.0,215.0,2000.0
848,24-01-2022,10:46:00,15,Female,63,Clothing,3,25.0,9.75,75.0
945,01-10-2022,10:01:00,120,Male,30,Beauty,1,25.0,13.25,25.0
1193,11-05-2022,11:31:00,50,Male,35,Beauty,3,500.0,145.0,1500.0
1577,11-09-2022,06:22:00,145,Male,21,Beauty,4,500.0,160.0,2000.0
1848,27-12-2022,10:16:00,63,Female,63,Clothing,3,25.0,12.5,75.0
1945,19-04-2022,09:55:00,33,Male,30,Beauty,1,25.0,10.75,25.0
11,27-02-2022,10:30:00,151,Male,23,Clothing,2,50.0,23.5,100.0
821,23-11-2022,11:27:00,40,Male,49,Electronics,1,300.0,129.0,300.0
1011,01-04-2022,06:48:00,15,Male,23,Clothing,2,50.0,19.0,100.0
1821,03-10-2022,07:17:00,42,Male,49,Electronics,1,300.0,108.0,300.0
133,23-06-2022,09:01:00,70,Male,20,Electronics,3,300.0,87.0,900.0
1133,05-03-2022,06:42:00,58,Male,20,Electronics,3,300.0,159.0,900.0
16,25-06-2022,10:33:00,82,Male,19,Clothing,3,500.0,180.0,1500.0
42,08-12-2022,08:29:00,63,Male,22,Clothing,3,300.0,147.0,900.0
292,10-10-2022,06:33:00,111,Male,20,Beauty,4,300.0,141.0,1200.0
416,21-08-2022,09:29:00,55,Male,53,Electronics,4,500.0,245.0,2000.0
584,31-12-2022,10:21:00,106,Female,27,Beauty,4,50.0,16.5,200.0
861,30-09-2022,08:57:00,22,Female,41,Clothing,3,30.0,9.6,90.0
1016,12-12-2022,07:39:00,52,Male,19,Clothing,3,500.0,200.0,1500.0
1042,11-02-2022,06:21:00,7,Male,22,Clothing,3,300.0,150.0,900.0
1292,15-05-2022,08:20:00,88,Male,20,Beauty,4,300.0,90.0,1200.0
1416,29-12-2022,10:47:00,111,Male,53,Electronics,4,500.0,125.0,2000.0
1584,03-09-2022,11:07:00,62,Female,27,Beauty,4,50.0,16.5,200.0
1861,04-07-2022,10:41:00,145,Female,41,Clothing,3,30.0,10.2,90.0
256,09-01-2022,08:05:00,3,Male,23,Clothing,2,500.0,270.0,1000.0
1256,05-11-2022,09:58:00,29,Male,23,Clothing,2,500.0,190.0,1000.0
44,03-03-2022,11:07:00,93,Female,22,Clothing,1,25.0,11.75,25.0
257,10-12-2022,08:49:00,130,Male,19,Beauty,4,500.0,165.0,2000.0
1044,20-02-2022,09:08:00,70,Female,22,Clothing,1,25.0,7.5,25.0
1257,10-05-2022,11:55:00,29,Male,19,Beauty,4,500.0,255.0,2000.0
268,14-04-2022,08:26:00,93,Female,28,Electronics,1,30.0,8.7,30.0
287,26-08-2022,11:07:00,88,Male,54,Clothing,4,25.0,10.0,100.0
966,07-11-2022,07:22:00,119,Male,60,Electronics,2,500.0,190.0,1000.0
1268,09-06-2022,09:33:00,15,Female,28,Electronics,1,30.0,14.1,30.0
1287,13-09-2022,08:03:00,120,Male,54,Clothing,4,25.0,7.0,100.0
1966,20-07-2022,09:52:00,74,Male,60,Electronics,2,500.0,200.0,1000.0
70,27-12-2022,10:48:00,147,Female,43,Clothing,1,300.0,84.0,300.0
371,18-12-2022,10:01:00,32,Female,20,Beauty,1,25.0,13.0,25.0
900,10-11-2022,08:41:00,130,Male,21,Clothing,2,30.0,15.6,60.0
1070,14-07-2022,11:12:00,102,Female,43,Clothing,1,300.0,120.0,300.0
1371,06-05-2022,06:52:00,41,Female,20,Beauty,1,25.0,13.5,25.0
1900,21-01-2022,06:43:00,65,Male,21,Clothing,2,30.0,10.8,60.0
8,27-12-2022,11:19:00,148,Male,30,Electronics,4,25.0,11.0,100.0
41,11-10-2022,10:36:00,88,Male,34,Clothing,2,25.0,13.25,50.0
454,12-03-2022,07:20:00,13,Female,46,Beauty,1,25.0,13.0,25.0
780,06-07-2022,11:30:00,107,Male,52,Electronics,2,25.0,13.25,50.0
920,20-08-2022,10:25:00,99,Female,28,Beauty,3,25.0,6.75,75.0
1008,10-01-2022,08:51:00,116,Male,30,Electronics,4,25.0,13.0,100.0
1041,10-05-2022,07:27:00,74,Male,34,Clothing,2,25.0,11.0,50.0
1454,25-06-2022,11:18:00,22,Female,46,Beauty,1,25.0,6.75,25.0
1780,11-12-2022,10:00:00,32,Male,52,Electronics,2,25.0,10.5,50.0
1920,24-10-2022,08:33:00,23,Female,28,Beauty,3,25.0,9.25,75.0
396,15-12-2022,07:11:00,29,Female,55,Beauty,1,30.0,10.8,30.0
1396,07-06-2022,06:23:00,9,Female,55,Beauty,1,30.0,8.4,30.0
168,29-04-2022,09:20:00,138,Male,53,Clothing,1,300.0,102.0,300.0
400,08-03-2022,09:52:00,2,Male,53,Clothing,4,50.0,24.0,200.0
611,21-07-2022,08:13:00,11,Male,51,Beauty,3,500.0,180.0,1500.0
800,19-09-2022,07:33:00,111,Male,32,Clothing,4,300.0,87.0,1200.0
1168,10-07-2022,07:56:00,68,Male,53,Clothing,1,300.0,150.0,300.0
1400,12-09-2022,11:54:00,115,Male,53,Clothing,4,50.0,20.0,200.0
1611,17-11-2022,07:30:00,125,Male,51,Beauty,3,500.0,180.0,1500.0
1800,21-08-2022,10:53:00,1,Male,32,Clothing,4,300.0,111.0,1200.0
272,10-06-2022,11:57:00,112,Female,61,Electronics,2,50.0,27.5,100.0
473,25-09-2022,10:09:00,1,Male,64,Beauty,1,50.0,14.5,50.0
506,29-04-2022,07:13:00,9,Male,34,Beauty,3,500.0,200.0,1500.0
766,04-01-2022,08:02:00,128,Male,38,Electronics,3,300.0,165.0,900.0
1272,14-04-2022,11:59:00,66,Female,61,Electronics,2,50.0,17.0,100.0
1473,19-03-2022,09:06:00,30,Male,64,Beauty,1,50.0,13.0,50.0
1506,09-01-2022,07:31:00,52,Male,34,Beauty,3,500.0,245.0,1500.0
1766,22-11-2022,06:08:00,6,Male,38,Electronics,3,300.0,129.0,900.0
135,18-04-2022,07:22:00,104,Male,20,Clothing,2,25.0,13.0,50.0
1135,14-01-2022,08:16:00,124,Male,20,Clothing,2,25.0,12.5,50.0
2,24-06-2022,10:07:00,104,Female,26,Clothing,2,500.0,135.0,1000.0
158,21-01-2022,11:38:00,141,Female,44,Electronics,2,300.0,132.0,600.0
185,27-06-2022,09:48:00,57,Male,24,Clothing,1,25.0,7.0,25.0
433,29-07-2022,08:48:00,144,Male,29,Beauty,4,50.0,20.0,200.0
1002,02-03-2022,09:24:00,69,Female,26,Clothing,2,500.0,270.0,1000.0
1158,24-02-2022,09:29:00,77,Female,44,Electronics,2,300.0,138.0,600.0
1185,04-10-2022,10:28:00,153,Male,24,Clothing,1,25.0,10.25,25.0
1433,16-01-2022,11:41:00,113,Male,29,Beauty,4,50.0,15.5,200.0
152,16-06-2022,11:58:00,120,Male,43,Electronics,4,500.0,210.0,2000.0
753,06-07-2022,10:07:00,70,Female,32,Clothing,1,30.0,15.9,30.0
763,23-04-2022,09:43:00,58,Male,34,Clothing,2,25.0,11.5,50.0
932,08-10-2022,08:33:00,120,Female,45,Beauty,4,25.0,7.75,100.0
1152,26-12-2022,07:48:00,87,Male,43,Electronics,4,500.0,170.0,2000.0
1753,17-07-2022,07:40:00,28,Female,32,Clothing,1,30.0,10.5,30.0
1763,30-06-2022,11:37:00,93,Male,34,Clothing,2,25.0,13.5,50.0
1932,08-11-2022,07:07:00,96,Female,45,Beauty,4,25.0,6.25,100.0
399,07-12-2022,09:25:00,136,Female,64,Beauty,2,30.0,12.9,60.0
500,14-10-2022,06:11:00,120,Female,60,Beauty,4,25.0,11.5,100.0
514,04-11-2022,08:35:00,139,Female,18,Electronics,1,300.0,96.0,300.0
1399,28-01-2022,09:32:00,15,Female,64,Beauty,2,30.0,16.2,60.0
1500,20-04-2022,08:36:00,53,Female,60,Beauty,4,25.0,8.5,100.0
1514,12-07-2022,10:55:00,59,Female,18,Electronics,1,300.0,75.0,300.0
947,31-07-2022,07:09:00,4,Male,50,Beauty,1,300.0,129.0,300.0
1947,05-03-2022,06:27:00,134,Male,50,Beauty,1,300.0,75.0,300.0
220,07-05-2022,06:44:00,138,Male,64,Beauty,1,500.0,140.0,500.0
339,18-08-2022,10:27:00,33,Female,22,Electronics,2,25.0,10.25,50.0
785,19-10-2022,06:09:00,88,Female,31,Beauty,4,50.0,13.0,200.0
